method,seed,bits,noise_std,mse_interp,mse_extrap,mse_full
StdNN,0,4,0.0,0.008397182449698448,0.0334777794778347,0.02495037578046322
StdNN,0,4,0.05,0.006851273588836193,0.03062795288860798,0.022543881088495255
StdNN,0,8,0.0,0.00048653295380063355,0.026263339444994926,0.017499221488833427
StdNN,0,8,0.05,0.0006608206895180047,0.024060247465968132,0.01610444113612175
StdNN,1,4,0.0,0.0017214954132214189,0.0037639185320585966,0.003069494618102908
StdNN,1,4,0.05,0.001786674140021205,0.004024574998766184,0.003263689111918211
StdNN,1,8,0.0,0.000372430426068604,0.00237965933047235,0.0016972015146166086
StdNN,1,8,0.05,0.0003900196752510965,0.0024047147016972303,0.0017197183333337307
StdNN,2,4,0.0,0.009333266876637936,0.0125407874584198,0.011450231075286865
StdNN,2,4,0.05,0.00934634730219841,0.013095074333250523,0.011820508167147636
StdNN,2,8,0.0,0.0004718304262496531,0.00540012726560235,0.0037245063576847315
StdNN,2,8,0.05,0.000619466241914779,0.005523201543837786,0.003855931805446744
StdNN,3,4,0.0,0.00512846140190959,0.014102127403020859,0.011051081120967865
StdNN,3,4,0.05,0.004760663490742445,0.013950287364423275,0.010825814679265022
StdNN,3,8,0.0,0.00014266459038481116,0.002627758076414466,0.001782826380804181
StdNN,3,8,0.05,0.00015056889969855547,0.00303909694775939,0.002056997502222657
StdNN,4,4,0.0,0.004301484674215317,0.007066590245813131,0.006126454100012779
StdNN,4,4,0.05,0.0037666435819119215,0.0060122343711555,0.005248734261840582
StdNN,4,8,0.0,0.00023822180810384452,0.001984352245926857,0.001390667981468141
StdNN,4,8,0.05,0.00024192988348659128,0.0016886116936802864,0.0011967399623245
PINN,0,4,0.0,0.0006405633757822216,0.0024405084550380707,0.0018285270780324936
PINN,0,4,0.05,0.0013713474618270993,0.0034559075720608234,0.002747157122939825
PINN,0,8,0.0,1.136900573328603e-05,1.4383813322638161e-05,1.3358777323446702e-05
PINN,0,8,0.05,0.00015712376625742763,0.000110981723992154,0.00012667002738453448
PINN,1,4,0.0,0.004663917236030102,0.0033129064831882715,0.0037722503766417503
PINN,1,4,0.05,0.004470766056329012,0.0034455610439181328,0.0037941306363791227
PINN,1,8,0.0,2.3056374629959464e-05,5.206684727454558e-05,4.220328264636919e-05
PINN,1,8,0.05,4.357959551271051e-05,6.723088154103607e-05,5.918943861615844e-05
PINN,2,4,0.0,0.02244335599243641,0.026563819497823715,0.02516286075115204
PINN,2,4,0.05,0.0215594545006752,0.02384464628994465,0.02306767925620079
PINN,2,8,0.0,7.901080971350893e-05,4.190075196675025e-05,5.451817560242489e-05
PINN,2,8,0.05,5.7455046771792695e-05,0.00017783045768737793,0.000136902803205885
PINN,3,4,0.0,0.0011520038824528456,0.0010603192495182157,0.0010914921294897795
PINN,3,4,0.05,0.0007645656005479395,0.0009834294905886054,0.0009090158273465931
PINN,3,8,0.0,7.385681328742066e-06,1.5591793271596543e-05,1.2801714547094889e-05
PINN,3,8,0.05,6.208681588759646e-05,3.645635297289118e-05,4.5170712837716565e-05
PINN,4,4,0.0,0.0007730890065431595,0.002623501932248473,0.001994361402466893
PINN,4,4,0.05,0.0006507603684440255,0.0022605773992836475,0.00171323970425874
PINN,4,8,0.0,9.514973498880863e-06,7.15734086043085e-06,7.958936294016894e-06
PINN,4,8,0.05,1.907744081108831e-05,3.588430627132766e-05,3.0169972887961194e-05
