method,bits,interp_mean,interp_std,extrap_mean,extrap_std,ratio
A_StdNN,2,1.0820338666439056,0.7156527997089167,1.8939927875995637,1.2696250724679934,1.7504006537929109
A_StdNN,4,0.007269901596009732,0.0025475499192644624,0.5201458752155304,0.14410319518316383,71.54785637002645
A_StdNN,6,0.004149611946195364,0.0008049064363172891,0.5005619406700135,0.097421630852812,120.62861471395209
A_StdNN,8,0.0035270794294774534,0.0004619676163044945,0.5113446891307831,0.10441356687985548,144.9768000281582
B_PINN,2,1.2363001525402069,0.7919090407719931,0.9306598097085953,0.9929197897785449,0.75277820503086
B_PINN,4,0.012954920716583728,0.009149471117349938,0.029213615879416465,0.015403182044765925,2.255020815528405
B_PINN,6,0.009232438588514923,0.004208937439416231,0.012918561510741711,0.002017136545546037,1.3992577786341622
B_PINN,8,0.006830591987818479,0.0029888117346628176,0.01428086068481207,0.0027289049148752787,2.0907207911525427
D_AdaPINN,2,0.09617268685251475,0.0865661430034073,0.09352927580475807,0.06657493042159998,0.9725139108174188
D_AdaPINN,4,0.020738297328352927,0.009946828821546076,0.01652541235089302,0.006099190870742744,0.7968548280142485
D_AdaPINN,6,0.0176899503916502,0.006125498676108962,0.016022294573485852,0.005236053411168147,0.9057286322887883
D_AdaPINN,8,0.01747778430581093,0.006110910325775873,0.015878210216760634,0.004476918732655386,0.9084795840787167
