method,hidden,seed,mse_interp,mse_extrap
StdNN,16,0,0.002052264753729105,0.32957541942596436
StdNN,16,1,0.004243765491992235,0.5807486176490784
StdNN,16,2,0.0038227131590247154,0.367029070854187
StdNN,16,3,0.0032671946100890636,0.443644642829895
StdNN,16,4,0.003916318062692881,0.4973379373550415
PINN,16,0,0.004235801752656698,0.010715429671108723
PINN,16,1,0.022321445867419243,0.01069516409188509
PINN,16,2,0.018745582550764084,0.010729390196502209
PINN,16,3,0.030581843107938766,0.013580726459622383
PINN,16,4,0.005260704550892115,0.015092557296156883
StdNN,32,0,0.0018794138450175524,0.37021559476852417
StdNN,32,1,0.0035225790925323963,0.34493905305862427
StdNN,32,2,0.0033719437196850777,0.19614344835281372
StdNN,32,3,0.0029987695161253214,0.48721277713775635
StdNN,32,4,0.0031163478270173073,0.45511576533317566
PINN,32,0,0.003736590500921011,0.012199546210467815
PINN,32,1,0.0017520985566079617,0.010602460242807865
PINN,32,2,0.002656539436429739,0.008706949651241302
PINN,32,3,0.008057362399995327,0.012208180502057076
PINN,32,4,0.005353182088583708,0.015733806416392326
StdNN,64,0,0.0015549157978966832,0.2636094093322754
StdNN,64,1,0.0024881544522941113,0.1333521455526352
StdNN,64,2,0.0026251364033669233,0.05240963399410248
StdNN,64,3,0.0007212560158222914,0.05237551033496857
StdNN,64,4,0.0020371531136333942,0.11270574480295181
PINN,64,0,0.0018953490070998669,0.014819953590631485
PINN,64,1,0.0006274503539316356,0.00910497922450304
PINN,64,2,0.002840622328221798,0.009051283821463585
PINN,64,3,0.002200696151703596,0.00839778408408165
PINN,64,4,0.0007271736394613981,0.007956898771226406
StdNN,128,0,0.0007108926656655967,0.02739512175321579
StdNN,128,1,0.0031084830407053232,0.2543181777000427
StdNN,128,2,0.002431351225823164,0.05291420593857765
StdNN,128,3,0.00044597446685656905,0.08152467012405396
StdNN,128,4,0.00357022020034492,0.09430673718452454
PINN,128,0,0.00019948398403357714,0.00577881932258606
PINN,128,1,0.00030272759613581,0.008753764443099499
PINN,128,2,0.0021453434601426125,0.00901954434812069
PINN,128,3,0.0015914731193333864,0.009420991875231266
PINN,128,4,0.001345377997495234,0.007746012881398201
