method,bits,noise_std,mse_interp_mean,mse_interp_std,mse_extrap_mean,mse_extrap_std,l_phys_mean,l_phys_std,n_seeds
A_StdNN,2,0.0,1.0985011100769042,0.7367773537993864,1.9426106333732605,1.3191831469998168,6.553464698791504,4.49330968264137,5
A_StdNN,2,0.05,1.0820338666439056,0.7156527997089167,1.8939927875995637,1.2696250724679934,7.273078775405883,4.919931828943078,5
A_StdNN,2,0.1,1.0561480581760407,0.6846112424688993,1.8006094455718995,1.1739128358156752,8.00973300933838,5.441581872067534,5
A_StdNN,4,0.0,0.007904315833002329,0.0027114791539263215,0.5299133479595184,0.15132077424928073,1.4206083178520204,0.41411955903959,5
A_StdNN,4,0.05,0.007269901596009732,0.0025475499192644624,0.5201458752155304,0.14410319518316383,1.3272869348526002,0.37765736230008135,5
A_StdNN,4,0.1,0.00753367468714714,0.003109345884039851,0.4826286554336548,0.12954369941854604,1.1960573554039002,0.33281080201799795,5
A_StdNN,6,0.0,0.004230077005922794,0.0010752919568637318,0.5085978209972382,0.10518520156884006,1.3605224370956421,0.28961611326515546,5
A_StdNN,6,0.05,0.004149611946195364,0.0008049064363172891,0.5005619406700135,0.097421630852812,1.2728456735610962,0.27105856087078356,5
A_StdNN,6,0.1,0.004842592310160399,0.0011205743791569541,0.4697749137878418,0.08331447509573547,1.1534684300422668,0.24660169248262195,5
A_StdNN,8,0.0,0.003641204908490181,0.000744251107076645,0.5193055510520935,0.11241411753293194,1.388605546951294,0.3093333220706539,5
A_StdNN,8,0.05,0.0035270794294774534,0.0004619676163044945,0.5113446891307831,0.10441356687985548,1.2949315547943114,0.2863036842139234,5
A_StdNN,8,0.1,0.004111771658062935,0.00046572876853028644,0.48045881390571593,0.08912544094972315,1.1686949014663697,0.25839143430515626,5
B_PINN,2,0.0,1.2438980609178543,0.79211170340872,0.982122603058815,1.0363233336316322,3.9854655146598814,3.709329495646103,5
B_PINN,2,0.05,1.2363001525402069,0.7919090407719931,0.9306598097085953,0.9929197897785449,3.8734284579753875,3.533830088424553,5
B_PINN,2,0.1,1.2217873692512513,0.7854473710492114,0.8366767171770334,0.8943087495368516,3.718404567241669,3.354148514106221,5
B_PINN,4,0.0,0.0127942253369838,0.007797711422043052,0.028754304721951486,0.014713339404138312,0.06706942431628704,0.03998266159006466,5
B_PINN,4,0.05,0.012954920716583728,0.009149471117349938,0.029213615879416465,0.015403182044765925,0.07935951054096221,0.03853375293249017,5
B_PINN,4,0.1,0.014262731187045574,0.01191273027677244,0.030298203602433203,0.01701237045432098,0.10661083087325096,0.042926948651527144,5
B_PINN,6,0.0,0.007931643212214113,0.004200201121197915,0.01234734822064638,0.002063979018352011,0.019832414388656617,0.005286214678655508,5
B_PINN,6,0.05,0.009232438588514923,0.004208937439416231,0.012918561510741711,0.002017136545546037,0.03307122029364109,0.013105729288055173,5
B_PINN,6,0.1,0.012403321918100119,0.004067002317313252,0.014053834974765778,0.0023129768938414032,0.07140116803348065,0.06612581035019356,5
B_PINN,8,0.0,0.006016719061881304,0.0031079814028257043,0.013625225611031055,0.002511842706023351,0.020231702737510203,0.0067185581778843,5
B_PINN,8,0.05,0.006830591987818479,0.0029888117346628176,0.01428086068481207,0.0027289049148752787,0.030628719925880434,0.00883298777993901,5
B_PINN,8,0.1,0.009282674361020326,0.0025997782870327583,0.015861428901553155,0.0033717586322448982,0.06666511408984661,0.05597364248563704,5
D_AdaPINN,2,0.0,0.09151250468567014,0.08193579341957583,0.09489828422665596,0.06625812179789652,0.32884896770119665,0.27084481801846033,5
D_AdaPINN,2,0.05,0.09617268685251475,0.0865661430034073,0.09352927580475807,0.06657493042159998,0.28921309635043146,0.27677810285873145,5
D_AdaPINN,2,0.1,0.10301065826788544,0.09342565098614711,0.09003626443445682,0.06412523985324872,0.2626978807151318,0.28448905527372437,5
D_AdaPINN,4,0.0,0.019358841981738806,0.010170492472814225,0.016410546191036702,0.006157025809977898,0.03773801904171705,0.02128934602105704,5
D_AdaPINN,4,0.05,0.020738297328352927,0.009946828821546076,0.01652541235089302,0.006099190870742744,0.04047948382794857,0.015203743204971448,5
D_AdaPINN,4,0.1,0.023561322316527366,0.010826314218452784,0.017245264165103434,0.006243788996105586,0.05712029412388801,0.02096188467339377,5
D_AdaPINN,6,0.0,0.016566236317157746,0.006833472477231382,0.015851818211376666,0.005398165804728658,0.03293836824595928,0.015732422783693988,5
D_AdaPINN,6,0.05,0.0176899503916502,0.006125498676108962,0.016022294573485852,0.005236053411168147,0.040171216055750844,0.014380336250249131,5
D_AdaPINN,6,0.1,0.020432519167661665,0.00605617755676299,0.01671942826360464,0.005416448230587905,0.06165359653532505,0.029776276779380065,5
D_AdaPINN,8,0.0,0.016368152946233748,0.0066727208995654465,0.015734926611185075,0.004926725560349629,0.032341414503753184,0.014008126931390056,5
D_AdaPINN,8,0.05,0.01747778430581093,0.006110910325775873,0.015878210216760634,0.004476918732655386,0.03855571486055851,0.008161529946935126,5
D_AdaPINN,8,0.1,0.020151349902153014,0.00619014809565954,0.016627762652933597,0.004229837098803808,0.05921157673001289,0.023800585182791063,5
